week_code,store_slug,pdf_count,image_count
102925,aldi,0,4
102925,whole_foods,0,16
101225,big_y,0,5
101225,hannaford,0,6
101225,pricerite,0,2
101225,price_chopper_market_32,0,36
101225,shaws,0,8
101225,stop_and_shop,0,16
101225,whole_foods,0,3
103025,big_y,0,7
100925,hannaford,0,5
101925,hannaford,0,6
101925,market_basket,0,8
102625,hannaford,0,12
102625,market_basket,0,16
102625,pricerite,0,4
102625,price_chopper_market_32,0,36
102625,stop_and_shop_ct,0,4
102625,stop_and_shop_mari,0,4
102625,trucchis,0,14
102625,wegmans,0,16
102625,whole_foods,0,24
110225,hannaford,0,4
110225,market_basket,1,0
101025,market_basket,0,8
101025,price_chopper_market_32,0,5
Week45,pricerite,1,0
Week45,price_chopper_market_32,0,12
Week45,roche_bros,1,0
Week45,shaws,1,0
Week45,stop_and_shop_ct,1,0
Week45,stop_and_shop_mari,1,0
Week45,trucchis,2,39
Week45,wegmans,0,26
Week45,whole_foods,0,15
110125,price_chopper_market_32,0,36
110125,wegmans,0,24
110125,whole_foods,0,117
100525,roche_bros,0,6
100525,shaws,0,10
100525,stop_and_shop,0,13
100525,whole_foods,0,3
103125,roche_bros,0,8
103125,shaws,0,8
103125,stop_and_shop,0,2
Week46,roche_bros,1,0
Week46,shaws,1,0
Week46,stop_and_shop_ct,1,0
Week46,stop_and_shop_mari,1,0
Week46,trucchis,2,37
Week46,wegmans,0,25
Week46,whole_foods,0,79
