line_no,price,text
1,,a n
2,,‘More for your Dollar
3,,DE oe Boneless
4,,a Pork Chops
5,,des Center Cut
7,,Hepes Hef Chul
8,,o=
10,,Chicken’
11,,Py | Nenderioins
13,,Ca)
15,,(&e . @ sae
16,,wy Ham Roast Ems
17,,—- B
19,,Fado (tie Large aie ere
20,,Fillets Fillets: =
21,,Talat =
22,,seston Gopal rr eS
23,,BS EB otic We A
24,,“het
25,,Seopa! Gatorade|
27,,ieee
28,,or 6 Ce
30,,Tropicana ‘Arizona Old El Faso
31,,ane @-;: Bitner ie
32,,&
1,,PRODUCE
2,,Dumplings
4,,Giorgio Baby Bella
5,,‘Mushrooms
1,,a
2,,Siyrfed
4,,he
6,,Teh PE PET
1,,Fa Quaker
2,,Instant Oatmeal
3,,—) 0D
5,,BME to sn10n
1,,‘Back For The Season
3,,Pumpkin Sugar Cookies
