"region","store","week_code","pdfs","raw_png","xlsx_excel","csv_total","csv_good","csv_bad","csv_bad_names","week_path"
"MIDATL","hannaford","wk_20260118","1","0","1","1","1","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\MIDATL\hannaford\wk_20260118"
"MIDATL","shoprite","wk_20260118","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\MIDATL\shoprite\wk_20260118"
"MIDATL","supremo","wk_20260118","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\MIDATL\supremo\wk_20260118"
"MIDATL","tops","wk_20260118","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\MIDATL\tops\wk_20260118"
"NE","aldi","wk_20251221","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\aldi\wk_20251221"
"NE","aldi","wk_20251228","1","2","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\aldi\wk_20251228"
"NE","aldi","wk_20260104","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\aldi\wk_20260104"
"NE","aldi","wk_20260111","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\aldi\wk_20260111"
"NE","aldi","wk_20260118","1","2","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\aldi\wk_20260118"
"NE","big_y","wk_20251221","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\big_y\wk_20251221"
"NE","big_y","wk_20251228","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\big_y\wk_20251228"
"NE","big_y","wk_20260104","0","31","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\big_y\wk_20260104"
"NE","big_y","wk_20260111","1","0","2","2","2","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\big_y\wk_20260111"
"NE","big_y","wk_20260118","0","0","1","1","1","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\big_y\wk_20260118"
"NE","hannaford","wk_20251221","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\hannaford\wk_20251221"
"NE","hannaford","wk_20260104","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\hannaford\wk_20260104"
"NE","hannaford","wk_20260111","1","0","1","1","1","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\hannaford\wk_20260111"
"NE","hannaford","wk_20260118","1","2","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\hannaford\wk_20260118"
"NE","market_basket","wk_20251221","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\market_basket\wk_20251221"
"NE","market_basket","wk_20251228","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\market_basket\wk_20251228"
"NE","market_basket","wk_20260104","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\market_basket\wk_20260104"
"NE","market_basket","wk_20260111","1","0","1","1","1","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\market_basket\wk_20260111"
"NE","market_basket","wk_20260118","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\market_basket\wk_20260118"
"NE","price_chopper","wk_20251221","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\price_chopper\wk_20251221"
"NE","price_chopper","wk_20260104","0","70","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\price_chopper\wk_20260104"
"NE","pricerite","wk_20251221","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\pricerite\wk_20251221"
"NE","pricerite","wk_20251228","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\pricerite\wk_20251228"
"NE","pricerite","wk_20260104","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\pricerite\wk_20260104"
"NE","pricerite","wk_20260111","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\pricerite\wk_20260111"
"NE","pricerite","wk_20260118","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\pricerite\wk_20260118"
"NE","roche_bros","wk_20251221","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\roche_bros\wk_20251221"
"NE","roche_bros","wk_20251228","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\roche_bros\wk_20251228"
"NE","roche_bros","wk_20260104","6","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\roche_bros\wk_20260104"
"NE","roche_bros","wk_20260111","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\roche_bros\wk_20260111"
"NE","roche_bros","wk_20260118","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\roche_bros\wk_20260118"
"NE","shaws","wk_20251221","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\shaws\wk_20251221"
"NE","shaws","wk_20251228","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\shaws\wk_20251228"
"NE","shaws","wk_20260111","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\shaws\wk_20260111"
"NE","shaws","wk_20260118","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\shaws\wk_20260118"
"NE","stop_and_shop_ct","wk_20251221","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\stop_and_shop_ct\wk_20251221"
"NE","stop_and_shop_ct","wk_20251228","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\stop_and_shop_ct\wk_20251228"
"NE","stop_and_shop_ct","wk_20260104","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\stop_and_shop_ct\wk_20260104"
"NE","stop_and_shop_ct","wk_20260111","1","0","1","1","1","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\stop_and_shop_ct\wk_20260111"
"NE","stop_and_shop_ct","wk_20260118","0","0","1","1","1","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\stop_and_shop_ct\wk_20260118"
"NE","stop_and_shop_mari","wk_20251221","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\stop_and_shop_mari\wk_20251221"
"NE","stop_and_shop_mari","wk_20251228","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\stop_and_shop_mari\wk_20251228"
"NE","stop_and_shop_mari","wk_20260104","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\stop_and_shop_mari\wk_20260104"
"NE","stop_and_shop_mari","wk_20260111","1","0","1","2","2","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\stop_and_shop_mari\wk_20260111"
"NE","stop_and_shop_mari","wk_20260118","0","0","1","2","2","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\stop_and_shop_mari\wk_20260118"
"NE","trucchis","wk_20251221","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\trucchis\wk_20251221"
"NE","trucchis","wk_20260111","1","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\trucchis\wk_20260111"
"NE","wegmans","wk_20251221","9","0","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\wegmans\wk_20251221"
"NE","wegmans","wk_20260104","0","44","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\wegmans\wk_20260104"
"NE","wegmans","wk_20260111","0","0","1","1","1","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\wegmans\wk_20260111"
"NE","wegmans","wk_20260118","0","0","1","3","1","2","wegmans_supabase_debug.csv; wegmans_supabase.csv","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\wegmans\wk_20260118"
"NE","whole_foods","wk_20251221","0","52","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\whole_foods\wk_20251221"
"NE","whole_foods","wk_20251228","0","125","0","0","0","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\whole_foods\wk_20251228"
"NE","whole_foods","wk_20260111","0","0","1","1","1","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\whole_foods\wk_20260111"
"NE","whole_foods","wk_20260118","0","0","1","1","1","0","","C:\Users\jwein\OneDrive\Desktop\deals-4me\flyers\NE\whole_foods\wk_20260118"
