"ArchivedAt","Store","WeekKey","WeekDate","PdfCount","ImgCount","SizeMB","Action","Reason"
"11/1/2025 9:00:43 PM","aldi","101225","2025-10-12","0","0","0","SKIPPED","No content in raw_pdfs/raw_images"
"11/1/2025 9:00:43 PM","big_y","100525","2025-10-05","0","0","0","SKIPPED","No content in raw_pdfs/raw_images"
"11/1/2025 9:00:43 PM","big_y","101025","2025-10-10","0","7","7.04","DRYRUN",""
"11/1/2025 9:00:43 PM","big_y","101225","2025-10-12","0","5","4.34","DRYRUN",""
"11/1/2025 9:00:43 PM","hannaford","100525","2025-10-05","0","0","0","SKIPPED","No content in raw_pdfs/raw_images"
"11/1/2025 9:00:43 PM","hannaford","100925","2025-10-09","0","5","2.06","DRYRUN",""
"11/1/2025 9:00:43 PM","hannaford","101225","2025-10-12","0","6","2.58","DRYRUN",""
"11/1/2025 9:00:43 PM","hannaford","101725","2025-10-17","0","0","0","SKIPPED","No content in raw_pdfs/raw_images"
"11/1/2025 9:00:43 PM","market_basket","100525","2025-10-05","0","0","0","SKIPPED","No content in raw_pdfs/raw_images"
"11/1/2025 9:00:43 PM","market_basket","101025","2025-10-10","0","8","3","DRYRUN",""
"11/1/2025 9:00:43 PM","market_basket","101225","2025-10-12","0","0","0","SKIPPED","No content in raw_pdfs/raw_images"
"11/1/2025 9:00:43 PM","price_chopper_market_32","100525","2025-10-05","0","0","0","SKIPPED","No content in raw_pdfs/raw_images"
"11/1/2025 9:00:43 PM","price_chopper_market_32","101025","2025-10-10","0","5","1.99","DRYRUN",""
"11/1/2025 9:00:43 PM","price_chopper_market_32","101225","2025-10-12","0","36","29.88","DRYRUN",""
"11/1/2025 9:00:43 PM","pricerite","101225","2025-10-12","0","2","0.47","DRYRUN",""
"11/1/2025 9:00:43 PM","roche_bros","100525","2025-10-05","0","6","1.64","DRYRUN",""
"11/1/2025 9:00:43 PM","roche_bros","101225","2025-10-12","0","0","0","SKIPPED","No content in raw_pdfs/raw_images"
"11/1/2025 9:00:43 PM","shaws","100525","2025-10-05","0","10","4.05","DRYRUN",""
"11/1/2025 9:00:43 PM","shaws","101225","2025-10-12","0","8","3.28","DRYRUN",""
"11/1/2025 9:00:43 PM","stop_and_shop","100525","2025-10-05","0","7","1.1","DRYRUN",""
"11/1/2025 9:00:43 PM","stop_and_shop","101225","2025-10-12","0","8","1.24","DRYRUN",""
"11/1/2025 9:00:43 PM","wegmans","101225","2025-10-12","0","0","0","SKIPPED","No content in raw_pdfs/raw_images"
"11/1/2025 9:00:43 PM","whole_foods","100525","2025-10-05","0","0","0","SKIPPED","No content in raw_pdfs/raw_images"
"11/1/2025 9:00:43 PM","whole_foods","101225","2025-10-12","0","3","0.5","DRYRUN",""
