"Store","Week","Pdfs","Images","OCR","Ok","Status"
"aldi","Week45","0","0","0","no","no inputs"
"big_y","Week45","0","0","0","no","no inputs"
"hannaford","Week45","0","0","0","no","no inputs"
"market_basket","Week45","0","0","0","no","no inputs"
"price_chopper_market_32","Week45","0","0","0","no","no inputs"
"pricerite","Week45","0","0","0","no","no inputs"
"roche_bros","Week45","0","0","0","no","no inputs"
"shaws","Week45","0","0","0","no","no inputs"
"trucchis","Week45","0","0","0","no","no inputs"
"wegmans","Week45","0","0","0","no","no inputs"
"whole_foods","Week45","0","0","0","no","no inputs"
"stop_and_shop_ct","Week45","0","0","0","no","no inputs"
"stop_and_shop_mari","Week45","0","0","0","no","no inputs"
"stopandshop","Week45","0","0","0","no","no inputs"
